Job;Company;City;Work Type;Work Model;Salary;Experience Level;Skills
Manager Data et Analytics F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Coaching, DWH, ETL, Esprit, Microsoft Business Intelligence (MSBI), Oracle Data Integrator (ODI), ?????????? ???? ?????, ???????, ?????????, and ??????? ????????
Data Analyst Senior;Leyton;Casablanca Metropolitan Area (On-site);Full-time;On-site;;Mid-Senior level;CRM, Microsoft Excel, PowerPoint, Python, Salesforce.com, ??????????, ?????????, ????????, ????????, and ???????? ?????????
Data Engineer F/H;Zenika;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Mid-Senior level;Apache Kafka, Apache Spark, Google Cloud Platform (GCP), Kubernetes, NoSQL, ???????? ???????, ?????, ???? ??? ??????, and ?????
Senior Data Scientist;Leyton;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;Decision Trees, Linear Regression, Python, Support Vector Machine (SVM), TensorFlow, XGBoost, ??????????, ????????? ?????????, ????? ??????, and ??? ????????
Backend Senior Developer H/F - Casablanca;Eskimoz;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Mid-Senior level;PHP, ??????????, ????????? ?????? ?????, ??????? ??? ?????, ????????, ????? ????? ?????? ????? (SEO), ????? ?????? ???????? ???????, ?????? ??????? ??? ???????, ???? ????? ????? ???????? (DBMS), and ???? ???.?? ??
Senior Data Scientist (H/F);Attijariwafa bank;Casablanca Metropolitan Area (On-site);Full-time;On-site;;Associate;?????????, ?????????, ?????? ?????????, ?????????, ????????? ?????????, ???????, ???????? ????????, ????? ??????, ??????? ????????, ??? ????????, and ?????? ???????? ???????
Data Analyst;Tookeez;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Contract;On-site;;Mid-Senior level;Ad Hoc Analysis, SQL, ?????????, ???????? ???????, ?????????, ??????? ?? ????????, ?????????, ???????? ?????????, ????? ????????, and ??????? ????????
Administrateur Syst�mes et Bases de Donn�es;Wafa Assurance;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;Listen, Notepad, Technical Specs, ??????? ?????, ???????, ???????? ????????, ?????????, ????? ?????????, ??? ????? ??????, and ????? ????????
D�veloppeur ERP H/F;Inetum;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Entry level;Costings, GxP, Microsoft Dynamics, Microsoft Dynamics 365, Microsoft Dynamics ERP, Technical Skillset, Technical Specs, ??????? ?????, ????????? ????????, and ????? ????? ????????
Consultant Odoo;Caisse Manager;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Associate;Odoo
Business Developer;Sonate technologie;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Mid-Senior level;???????, ??????????, ???????, ????? ???????, ????????, ??? ???????, ????? ???????, ????? ??????? ????????, and ????? ??????? ???????? ???????
Tech Lead Full Stack;Adria Business & Technology;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Internship;DevOps, Java, React.js, Spring Boot, Spring Framework, ????? ?????, and ????????? ???????
Glovo Africa Graduate Program - Morocco;Glovo;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Oral Communication, ??????????, ?????????, ???????, ???????? ?????????, ?? ???????, and ?????? ??????? ??? ???????
Data Engineer/ TALEND;IBM;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Technical Solution Design, ??????????, ?????????, ?????? ??? ????????, ?????? ?????????, ??????? ????????, ??????? ????????, ????? ????????, ?? ???????, and ??? ????????
Stagiaire VBA H/F;SEGULA Technologies;Mechouar, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Python, VBA, ??????????, ?????????, ????? ???????, ?? ???????, and ????? ??? ???
Data Engineer;IBM;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Azure Data Factory, Azure Databricks, Data Engineering, ?????????, ????? ????????, ????? ????????, ??? ????????, ????? ????????, ????? ????????, and ??? ????? ????????
Consultant Talend ETL (F/H);VISEO;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;ETL, Log Management, Service Focused, Technology Intelligence, ???????? ?? ???????, ????????? ????????, ????? ????????, ????? ????????? ?????????, ??????, and ?????? ????????
D�veloppeur FullStack .NET Angular | Devoteam Maroc Nearshore;Devoteam;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;.NET, ASP.NET Web API, Angular, Full-Stack Development, JUnit, JavaScript, Mockito, TypeScript, ?????? ??????, and ?????? ??????? ??? ???????
Digital Strategy Consultant (Technology Digital Advantage);Boston Consulting Group (BCG);Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Agile Leadership, Data Strategies, ??????????? ???????, ?????????? ????? ?????????, ?????????? ?????, ??????????, ??????????, ?????? ??????, ????????, and ????? ????????? ?????????
(Junior/Senior) Software Engineer - X Delivery;BCG X;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;CSS, Highcharts, OOP, Technical Advisory, ????? ???????, ????? ?????????, ?? ???????, ??????? ???????, ???? ??????? ????????, and ??? ???????
FULLSTACK DEVELOPER;Atrebo;Fez, F�s-Mekn�s, Morocco (On-site);Full-time;On-site;;Mid-Senior level;JavaScript, Methodology, OOP, Pair Programming, Skill Development, Training Plans, ???????? ?????????, ????????, ???????? ????????, and ???? ?????? ??????
Network Engineer Intern;Ericsson;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;Associate;???? ???????, ????? ???????, ??????, ?????? ??????? ????????, ?????????, ?????????, ???????, ???????, ????? ???????, and ????? ???????
Prompt Engineer ;Leyton;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Associate;MLOps, Python, ??????????, ?????????, ???????, ???????, ????????, ???? ??? ?????, ?? ???????, and ?????? ????? ????????
Senior Software Engineer;Thinkable;Morocco (Remote);Internship;Remote;;Associate;Angular, JavaScript, NestJS, React.js, TypeScript, ????? ?????????, ?????????, ???????, ?????? ???????, and ?? ??????? ???? ??????
Stage en informatique & Syst�mes d'Information;Masarat App;Temara, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;Android, Angular, Continuous Integration and Continuous Delivery (CI/CD), OWASP, PHP, React Native, React.js, ?????? ??????, ????? ?????? ??? (AWS), and ???? ??? ??????
Chef de projet Web F/H;VISEO;Casablanca, Casablanca-Settat, Morocco (Hybrid);Temporary;Hybrid;;Associate;Atlassian Suite, Coordinating Skills, Costings, Synthesizing, V-Model, ????? ????? ?????, ??????, ???????? ????????, ???? ??? ?????, and ?????
Fresh Specialist - Morocco;Glovo;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Internship;Merchandising Strategies, ????? ???????, ??????????, ?????????, ???????? ?????????, ?????? ?? ??????, ???????, ?????? ???? ???? ??? ???????, ???????? ?????????, and ?????? ??????? ??? ???????
Consulting Data Manager;Artefact;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;Esprit, ????? ????????, ?????????, ????? ???????, ???????? ?????????, ??????, ????, and ??? ????????
Manager;IDinsight;Rabat Metropolitan Area (On-site);Full-time;On-site;;Executive;Social Protection, Social Sector, Stata, ????? ????, ?????????, ????????, ??????? ??????, ??????? ???????, ???????, and ???????? ?????????
Responsable Qualification Produit H/F ;Inetum;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Mid-Senior level;Esprit, Methodology, Synthesizing, ??????, ?????????? ????????, ??????? ??????? ????????, ??????? ??? ?????, ????? ?????????, ????? ????????, and ?????? ??????? ??? ???????
Data Architect (H/F);Sofrecom Maroc;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Data Engineering, Python, Technical Skillset, ??????? ??? ?????, ???????? ????????, ???????? ???????, ????? ????????, ????? ????????, ????? ????????, and ??? ????? ????????
Consultant Exp�riment� en Business Intelligence F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Mid-Senior level;Hybrid;;Associate;CSS, Next.js, React.js, Tailwind CSS, TypeScript, ??????? ??? ????????, ????? ????? ?????, ????? ??? ??????, ????? ??????? ????????, and ???? ??????
Senior Front-End Engineer;Spotbusiness;Casablanca-Settat, Morocco (Remote);Full-time;Remote;;Mid-Senior level;Java, Java Development, Security Assertion Markup Language (SAML), Software Architecture, Struts, ??????? ??????? ?????????, ???????, ?????????, ????? ?????? ??????? (SSO), and ???? ????? ????? ???????? (DBMS)
Ing�nieur �tudes et d�veloppement JAVA S�nior (F/H);CGI;Casablanca, Casablanca-Settat, Morocco;Full-time;;;Associate;Advising Clients, Staffing Processes, ????? ????????, ???????, ?????????, ???????, ????????, ????????, ????????, and ??? ??????
Business Developer(H/F);Gentis;Casablanca Metropolitan Area (On-site);Mid-Senior level;On-site;;Entry level;Esprit, Technical Skillset, ??????? ?????? ???????, ?????????, ??????????, ?????? ?? ???????, ??????? ??? ?????, ??????, ?????????, and ?????? ??????? ??? ???????
Coordinateur IT;Soci�t� G�n�rale - Africa Technologies & Services;Casablanca, Casablanca-Settat, Morocco (Hybrid);Part-time;Hybrid;;Internship;?????? A/B, ?????????, ??????? ??? ?????, ?????? ???????, ????? ???????? ??????? ????????, ??????? ????????, ?? ??????? ???? ??????, ??? ????????, ???? ????, and ?????? ????????
Senior Data Analyst (Flights team, Bangkok-based, Relocation provided);Agoda;Marrakesh, Marrakesh-Safi, Morocco;Full-time;;;Associate;Android, Barcode, Gmail, Online Search, ?????????, ??????????, ?????? ???? ????, ????????, ?????? ??????? ?? ?????????, and ????? ??????? ?????????
Freelance Personalized Internet Ads Assessor;TELUS International AI Data Solutions;Casablanca Metropolitan Area (Remote);Mid-Senior level;Remote;;Associate;Directorship, ????? ?????????, ?????? ???????, ???????, ???????, ???????, ???????, ????? ?????, ????????, and ????? ????????
Administrateur de syst�mes et de bases de donn�es/Administratrice de syst�mes et de bases de donn�es;SOREC;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Internship;On-site;;Entry level;IT Project Management, ????? ?????????, ?????????? ????? ?????????, ????????????, ??????? ???????????, ?????? ?????????, ??????? ?, ???????? ?????????, ?????, and ?? ???????
Senior Manager - Platinion Casablanca;Boston Consulting Group (BCG);Casablanca, Casablanca-Settat, Morocco;Full-time;;;Mid-Senior level;??????????, ?????????, ????????? ????????, ???????, ?????? ?????????, ????????, ???????? ?????????, ????? ??????? ????????, ????? ????????, and ?????? ????? ????????
Sales Excellence Academy Program- Business Development Specialist (Stage PFE);Evernex;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;COBOL, DB2, Digital Technology, Gitlab, Technical Specs, ?????? ??????, ?????????, ?????????, ??????? ??? ?????, ????? ???, ????? ?????, and ???? ????? ?????????
