,Jobs,Companies,City
0,Senior R&D Software Engineer C#,Société Générale - Africa Technologies & Services,"Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid)"
1,Consultant ELK (F/H),VISEO,"Casablanca, Casablanca-Settat, Morocco (Hybrid)"
2,WELIS JOB enrichit sa CVthèque COMMUNICATION,Welis Job International,"Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site)"
3,DevOps Engineer (Remote),Mindera,Morocco (Remote)
4,Développeur BI Sénior,Eviden,"Casablanca-Settat, Morocco (Hybrid)"
5,Freelance Personalized Internet Ads Assessor - French Speakers,TELUS International AI Data Solutions,Morocco (Remote)
6,Ingénieur développement logiciel AS400,Webhelp,Casablanca Metropolitan Area (On-site)
7,Sales Intern- French Speaker,Dell Technologies,"Mechouar, Casablanca-Settat, Morocco (Remote)"
8,Senior Data Scientist,Leyton,"Casablanca-Settat, Morocco (Hybrid)"
9,Software Engineering Intern - X Delivery,BCG X,"Casablanca, Casablanca-Settat, Morocco"
10,IT Business Partner ( H/F),Capgemini,"Casablanca-Settat, Morocco (On-site)"
11,Data Analyst Expérimenté F/H,Deloitte,"Mechouar, Casablanca-Settat, Morocco (Hybrid)"
12,Industrial IT Expert,ORH Assessment,Casablanca Metropolitan Area (On-site)
13,Consultant Technique Dynamics CRM H/F,Inetum,"Casablanca, Casablanca-Settat, Morocco (On-site)"
14,DevOps Specialist,Cnexia,Rabat Metropolitan Area (Remote)
15,Consultant Junior Analytics F/H,Deloitte,"Mechouar, Casablanca-Settat, Morocco (Hybrid)"
16,Consultant Expérimenté FSP BANQUE F/H,KPMG,Casablanca Metropolitan Area (Hybrid)
17,Ingénieur Java Confirmé H/F,Smile Maroc,"Casablanca-Settat, Morocco (Hybrid)"
18,Sales Intern-French Speaker,Dell Technologies,"Mechouar, Casablanca-Settat, Morocco (Remote)"
19,Intern- Call Center,Hikvision MENA,"Casablanca-Settat, Morocco (Hybrid)"
20,Architecte cloud,MARJANE GROUP,Casablanca Metropolitan Area (On-site)
21,Part-Time Personalized Internet Ads Assessor - French Speakers in Morocco,TELUS International AI Data Solutions,Morocco (Remote)
22,Data engineer -Apache NIFI,Devoteam,"Dar Chaffai, Casablanca-Settat, Morocco (Hybrid)"
23,Data Center solution Architecture ,Tangent International,"Casablanca-Settat, Morocco (On-site)"
24,Ingénieur d'études Débutant (H/F),SEGULA Technologies,"Mechouar, Casablanca-Settat, Morocco (Remote)"
25,Packager d'applications (SCCM),Cortex génie humain - Filiale Maroc,"Casablanca-Settat, Morocco (On-site)"
26,Data Governance Lead,Royal Air Maroc,Casablanca Metropolitan Area (On-site)
